FIPS,Recip_County,Recip_State,Series_Complete_5Plus
27039,Dodge County,MN,12384
19013,Black Hawk County,IA,77133
05107,Phillips County,AR,8500
05125,Saline County,AR,60055
40033,Cotton County,OK,2764
08019,Clear Creek County,CO,4691
22071,Orleans Parish,LA,262424
19073,Greene County,IA,5078
46053,Gregory County,SD,2061
12099,Palm Beach County,FL,967417
46067,Hutchinson County,SD,3852
20133,Neosho County,KS,4291
01121,Talladega County,AL,28588
16027,Canyon County,ID,103126
09013,Tolland County,CT,98572
UNK,Unknown County,MN,204733
17173,Shelby County,IL,8899
13265,Taliaferro County,GA,747
48205,Hartley County,TX,2644
21091,Hancock County,KY,5025
16021,Boundary County,ID,4176
20025,Clark County,KS,901
51115,Mathews County,VA,5310
42109,Snyder County,PA,17059
36011,Cayuga County,NY,44337
08119,Teller County,CO,13474
42069,Lackawanna County,PA,143095
47125,Montgomery County,TN,122067
26097,Mackinac County,MI,7973
29127,Marion County,MO,11660
51141,Patrick County,VA,6852
51001,Accomack County,VA,22809
UNK,Unknown County,CO,112442
53061,Snohomish County,WA,564743
54093,Tucker County,WV,4073
27109,Olmsted County,MN,119226
18031,Decatur County,IN,12476
51075,Goochland County,VA,15392
48309,McLennan County,TX,128749
UNK,Unknown County,CT,47413
17079,Jasper County,IL,3943
18155,Switzerland County,IN,3250
20209,Wyandotte County,KS,90169
51027,Buchanan County,VA,9811
41059,Umatilla County,OR,42064
48257,Kaufman County,TX,68625
16005,Bannock County,ID,44245
27021,Cass County,MN,16572
29007,Audrain County,MO,9310
55049,Iowa County,WI,16021
26055,Grand Traverse County,MI,61452
21133,Letcher County,KY,11196
34025,Monmouth County,NJ,408833
37109,Lincoln County,NC,40657
55077,Marquette County,WI,8139
05095,Monroe County,AR,3627
38079,Rolette County,ND,9418
17189,Washington County,IL,7925
28133,Sunflower County,MS,12941
10001,Kent County,DE,97024
22055,Lafayette Parish,LA,119110
47067,Hancock County,TN,2113
46073,Jerauld County,SD,1014
26093,Livingston County,MI,113081
08115,Sedgwick County,CO,1152
30017,Custer County,MT,4910
26131,Ontonagon County,MI,3930
51680,Lynchburg city,VA,25074
40041,Delaware County,OK,17590
48039,Brazoria County,TX,211408
46039,Deuel County,SD,1958
53059,Skamania County,WA,4566
40119,Payne County,OK,38993
22027,Claiborne Parish,LA,6234
27103,Nicollet County,MN,21008
01067,Henry County,AL,7636
28139,Tippah County,MS,8975
37061,Duplin County,NC,25539
01093,Marion County,AL,10564
13091,Dodge County,GA,7101
