Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Puerto Rico,US,2021-09-30 04:31:20,18.2208,-66.5901,181094,3148,,,72.0,5670.3616564392205,2864408.0,,1.738323743470242,630.0,PRI,89689.49435982283,
Rhode Island,US,2021-09-30 04:31:20,41.6809,-71.5118,172064,2836,,,44.0,16242.24414529136,5266623.0,,1.6482239166821648,84000044.0,USA,497150.9240004116,
South Carolina,US,2021-09-30 04:31:20,33.8569,-80.945,854874,12372,,,45.0,16603.641219924044,8803616.0,,1.4472308199804884,84000045.0,USA,170986.69687226752,
South Dakota,US,2021-09-30 04:31:20,44.2998,-99.4388,144546,2134,,,46.0,16339.177016228852,947804.0,,1.4763466301385026,84000046.0,USA,107137.7785112682,
Tennessee,US,2021-09-30 04:31:20,35.7478,-86.6923,1224402,15092,,,47.0,17928.991119570244,9857785.0,,1.2326017108760032,84000047.0,USA,144348.13053525946,
Texas,US,2021-09-30 04:31:20,31.0545,-97.5635,4083230,64851,,,48.0,13997.284648809256,32817019.0,,1.5978520862674062,84000048.0,USA,113178.20969123163,
Utah,US,2021-09-30 04:31:20,40.15,-111.8624,506790,2920,,,49.0,15807.75543534881,4200820.0,,0.5761755362181574,84000049.0,USA,131031.66042724204,
Vermont,US,2021-09-30 04:31:20,44.0459,-72.7107,33438,317,,,50.0,5358.748311268308,2070910.0,,0.948023207129613,84000050.0,USA,331882.4530560635,
Virgin Islands,US,2021-09-30 04:31:20,18.3358,-64.8963,6721,71,,,78.0,6265.615094902487,183157.0,,1.056390418092546,850.0,VIR,170747.10071969277,
Virginia,US,2021-09-30 04:31:20,37.7693,-78.17,863644,12696,,,51.0,10118.236512624482,9249079.0,,1.470050159556484,84000051.0,USA,108359.8900078601,
Washington,US,2021-09-30 04:31:20,47.4009,-121.4905,654710,7654,,,53.0,8597.75705318512,9842443.0,,1.1690672206014876,84000053.0,USA,129252.54497994916,
West Virginia,US,2021-09-30 04:31:20,38.4912,-80.9545,238498,3642,,,54.0,13307.94851092014,3885088.0,,1.5270568306652468,84000054.0,USA,216784.0026515682,
